,Глубина манометра,Dшт,Рзаб (ср),Pлин (ср),Руст (кон),Рлин (кон),Туст,Тзаб,Tлин,Дебит ст. конд. (ст),Дебит воды (ст),Дебит смеси (ст),Дебит газа (лин),Дебит кон нестабильный (лин),Дебит воды (лин),Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Pсб,G_total,КГФ
0,0.7621827411167518,0.1668415529905562,0.6890372452565003,0.5889943395012561,0.5736040609137056,0.7367567577245682,0.5669291338582677,0.4357965311179139,0.41454180147022784,0.1857689495874695,0.04795997302135126,0.12423952268492029,0.11988065323232823,0.16512702078521943,0.04938271604938272,0.6299982604525644,0.667219917012448,0.9880952380952379,0.43783783783783753,0.0,0.7110772749744312
1,0.7621827411167518,0.3336831059811122,0.6697118763176388,0.578658698167841,0.48223350253807107,0.7439964053981619,0.6811023622047243,0.4066462614779193,0.5697216893678737,0.26421014536512355,0.16785990557472938,0.22653334372253453,0.23538585416976116,0.2279445727482679,0.1728395061728395,0.6299982604525644,0.667219917012448,0.9880952380952379,0.4000000000000003,0.11230962474636368,0.6194591981353808
2,0.7621827411167518,0.4994753410283315,0.6433591004919185,0.58486008296789,0.38071065989847713,0.7222774623773807,0.7755905511811025,0.3483457221979302,0.6918304536152016,0.2998990306478476,0.22780987185141843,0.3306170772484891,0.3557441996336089,0.2598152424942264,0.2345679012345679,0.6299982604525644,0.667219917012448,0.9880952380952379,0.3189189189189192,0.21260884145202197,0.46298433837933933
3,0.7621827411167518,0.6663168940188876,0.6092761770906534,0.5187119784340332,0.25888324873096447,0.7029717352477975,0.797244094488189,0.26089491327794856,0.7605166335043235,0.32592217616650065,0.3956697774261478,0.4188951401723319,0.48523422389463783,0.28106235565819865,0.4074074074074074,0.6299982604525644,0.667219917012448,0.9880952380952379,0.20000000000000015,0.2988329514621383,0.3638101314917073
4,0.7621827411167518,0.8331584470094437,0.5751932536893883,0.5352490045674975,0.16751269035532995,0.7090047749757923,0.7834645669291338,0.6106981489578792,0.8571860718667914,0.35752171001057936,0.5515396897455394,0.48385200504853315,0.5636323341750424,0.3020785219399538,0.5802469135802469,0.6299982604525644,0.667219917012448,0.9880952380952379,0.22702702702702718,0.3660130647461803,0.3307520625291633
5,0.7621827411167518,0.3336831059811122,0.39494026704146157,0.6832898885165349,0.3223350253807107,0.7897268465363622,0.655511811023622,0.35417577612592993,0.5793813092257357,0.1604893225122066,0.07193995953202688,0.1737693548231366,0.17114753016124507,0.13672055427251734,0.07407407407407407,0.6299982604525644,0.5001788381742739,0.4999999999999998,0.2810810810810812,0.03607021330975981,0.43287692447487763
20,0.9568527918781726,0.1668415529905562,0.9364019676739282,0.7354800471711198,0.9035532994923858,0.7049910520290129,0.2519685039370079,0.7593645241218488,0.0,0.4328947917279718,0.14429769278178214,0.2643163434971812,0.14853691142248848,1.0,0.308641975308642,0.7898485653435137,1.0,1.0,0.7513513513513517,0.17791511157518625,1.0
21,0.9568527918781726,0.3336831059811122,0.7543921293042866,0.337896948155907,0.6700507614213198,0.5551283990437755,0.46850393700787407,0.7447893893018505,0.1482191144797863,0.39163943804465273,0.10301947189836197,0.3441434859697706,0.3701869914673796,0.4122401847575058,0.1234567901234568,0.7898485653435137,1.0,1.0,0.7675675675675677,0.23708321525006076,0.6465902801247848
22,0.9568527918781726,0.6663168940188876,0.4736472241742797,0.5079018329514383,0.3096446700507614,0.6240342757616058,0.5866141732283465,0.7302142544818543,0.488473585704817,0.43927946905291226,0.08351923312700166,0.47361505770597845,0.49705401792345394,0.4277136258660508,0.09876543209876544,0.7898485653435137,1.0,1.0,0.7405405405405407,0.36144516999892246,0.49006804688054567
23,0.9568527918781726,0.8331584470094437,0.3390723822909346,0.13738365259019095,0.1319796954314721,0.4875532941214304,0.547244094488189,0.715639119661858,0.4482687345293895,0.40713607214188724,0.05116386939972695,0.4906229077352906,0.7005990988760706,0.37274826789838333,0.04938271604938272,0.7898485653435137,1.0,1.0,0.7243243243243246,0.367267538861044,0.4046933552898005
24,0.9568527918781726,1.0,0.22944483485593817,0.15351102961208576,0.0,0.4681794520271767,0.5275590551181103,0.7010639848418597,0.5356890043242979,0.3868002216185429,0.04898346649439186,0.49535519000455863,0.7181924708290011,0.34618937644341796,0.04938271604938272,0.7898485653435137,1.0,1.0,0.8270270270270269,0.36598949487133164,0.36204279333187417
25,0.9568527918781726,0.8331584470094437,0.2716092761770907,0.0,0.07614213197969544,0.38417696376805544,0.5078740157480316,0.0,0.401673734708972,0.3020494164756574,0.04088710668739596,0.44713070526523896,0.7138849003977488,0.2602771362586605,0.037037037037037035,0.7898485653435137,1.0,1.0,0.6216216216216216,0.302912507099838,0.2697457153161475
26,0.9568527918781726,0.4994753410283315,0.4314827828531272,0.06750061873393653,0.28426395939086296,0.43534025448840685,0.5078740157480316,0.3162804255939368,0.2187092472956862,0.2812160777925563,0.039461957156593355,0.30880803180363825,0.4656632173095014,0.24064665127020785,0.037037037037037035,0.7898485653435137,1.0,1.0,0.6756756756756757,0.17990114293266915,0.4507711004896518
27,0.949238578680203,0.1668415529905562,1.0,0.3666859636026301,1.0,0.5875437268881071,0.7047244094488189,0.7855997667978425,0.38090395528906784,0.2715066259194577,0.05847114095234308,0.22290454304106844,0.2699740885610074,0.23833718244803695,0.0617283950617284,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.2216216216216213,0.11558018273072887,0.642991508564892
28,0.949238578680203,0.3336831059811122,0.9796205200281096,0.5060610601599753,0.9593908629441624,0.6930662624711682,0.8228346456692913,0.7695671184958458,0.61836016512082,0.4066152329697927,0.2618717329254515,0.3855599155639151,0.434685019227278,0.36743648960739034,0.271604938271605,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.0,0.2930028093573733,0.5944769189804262
29,0.949238578680203,0.6663168940188876,0.9251581166549545,0.6160334564530641,0.8274111675126904,0.7871579392973439,0.9803149606299213,0.766652091531847,0.8948164284372154,0.7336667947162703,0.5462725675678616,0.7314614671619334,0.7783004076513014,0.6808314087759816,0.5802469135802469,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.4486486486486485,0.6894383719085622,0.5878622381882144
30,0.949238578680203,0.8331584470094437,0.8861560084328881,0.6977795721513798,0.7309644670050761,0.7967407417556183,1.0,0.7593645241218488,0.9300137273323074,0.8890244197480811,0.7489350049558844,0.8557487093015828,0.8477496657919493,0.8355658198614319,0.7901234567901235,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.3675675675675674,0.8411691556296181,0.6337680361773249
31,0.949238578680203,0.998950682056663,0.8432888264230498,0.7540436759796757,0.6040609137055838,0.828342193079222,1.0,0.7506194432298502,1.0,1.0,1.0,1.0,1.0,0.9464203233256351,1.0,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.11891891891891908,1.0,0.6017080006583745
32,0.949238578680203,0.8331584470094437,0.8460997891777936,0.7302445869441779,0.6852791878172588,0.8192887412035337,0.9803149606299213,0.7491619297478498,0.9392339736006008,0.8490400641571066,0.7208086107993139,0.8246667138558341,0.8302058061428265,0.7882217090069285,0.7530864197530864,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.5837837837837836,0.8032059074317991,0.621751522986476
33,0.949238578680203,0.4994753410283315,0.8801827125790582,0.554397670258994,0.8223350253807107,0.7422382052488589,0.9015748031496063,0.7520769567118507,0.729583691379229,0.5432669372302057,0.39441598428486685,0.5132197362765702,0.5480186826426366,0.4946882217090069,0.4074074074074074,0.7898485653435137,0.7535269709543566,0.9226190476190473,0.1459459459459461,0.4461712255169263,0.6152032331599648
34,0.9568527918781726,0.3336831059811122,0.8060435699226984,0.7870640908010229,0.8223350253807107,0.8551600277410848,0.7834645669291338,0.613613175921878,0.667417338591948,0.31468375028815565,0.17617296432630916,0.330708460038802,0.3037744879602581,0.2875288683602772,0.1851851851851852,0.7898485653435137,0.5904564315352695,0.8928571428571427,0.17837837837837822,0.22151498657294336,0.4867581311774168
35,0.9568527918781726,0.4994753410283315,0.7912860154602952,1.0,0.7715736040609137,1.0,0.8622047244094488,0.613613175921878,0.8388375972690257,0.4141575433445099,0.2721808876029072,0.4723502272962241,0.40284860787905796,0.3919168591224018,0.2839506172839506,0.7898485653435137,0.5904564315352695,0.8928571428571427,0.10270270270270301,0.37436916021417754,0.44114764305552323
36,0.7652284263959391,0.8331584470094437,0.5791665495432186,0.7079685452469627,0.4365482233502538,0.796725172620836,0.8818897637795275,0.7520769567118507,0.9162508374279658,0.4961878997028303,0.11989993255337814,0.6481112939603355,0.6826096284926804,0.44849884526558886,0.1234567901234568,0.7898485653435137,0.4261410788381741,0.5892857142857141,0.28648648648648634,0.5513344142444963,0.34605644366498683
